CarparkValue,latitude,longitude,Carpark_Number,dist
525,1.2808706520545865,103.81236594973764,DRM4,14.919627606137363
267,1.2813318825559306,103.80947738316917,DRM5,15.237707276643205
810,1.2804697558033025,103.81299281989986,DRS,14.852542629478071
540,1.3860579471811627,103.7697816793337,BJ20,22.44728703204489
1513,1.3853817252275489,103.76997021493004,BJ68,22.392553877224994
1396,1.281299375700636,103.80785308038944,DRM2,15.418287579333555
577,1.351182903911401,103.92875608502416,TM51,7.27202881867574
1606,1.4415022181337371,103.79906542301563,W67,23.640888199079164
212,1.4409284934822946,103.79864838266604,W717,23.62711414389659
1383,1.341979359948774,103.95711141512344,SI13,6.099695022698307
727,1.4316462128157206,103.84502569792488,Y63M,19.530618321708836
311,1.4324881324444547,103.84513253066642,Y64M,19.600367712906756
343,1.3681275586189163,103.8463132241709,A21,14.23793806290985
1104,1.3672262594201825,103.848715596645,A29,13.966948124971811
1813,1.3752171305295215,103.8493990820064,A63,14.486017016791862
1644,1.3662807156719192,103.84726652678953,A88,14.027196779865934
418,1.452495987454693,103.81539294605052,SB10,23.364912434117965
1440,1.4517759781995072,103.81666194814848,SB11,23.21442264807224
1700,1.4543523817123178,103.8164254897944,SB13,23.45586807130107
1738,1.4531650655885606,103.81906292608272,SB12,23.171689599355563
981,1.441136622845911,103.79597944897536,W65,23.850852686045616
563,1.4410960393771697,103.79799759340608,W66,23.69084333691523
917,1.3503210301814026,103.9405361777492,T38,6.938596715468432
946,1.3456852935378616,103.94048978184544,T39,6.4258918186939304
141,1.3475301018629275,103.94141848248198,TM41,6.62074909555147
1451,1.4361090180988818,103.79715763971646,W83,23.36211047982128
1077,1.4348354207334109,103.79591598929478,W84,23.361232079646452
3,1.380998422608684,103.75062314406662,CK18,24.086039334291673
299,1.3552098604736484,103.87238246840354,SE51,11.097707872522927
391,1.3695677717165766,103.88437512420153,HG33,11.37358426524368
930,1.376353149352738,103.83997857029854,A77,15.36186279175451
1216,1.3746947111453929,103.83838679093324,A78,15.382518914530815
687,1.4466286838914626,103.81500660782469,SB7,22.885522817023343
1052,1.4471119773997287,103.81722634794112,SB8,22.77051592233221
921,1.447670434181071,103.81548836056376,SB9,22.94084505195438
327,1.4400107886452522,103.7933217086181,W41,23.97057017213283
1311,1.4398048028708437,103.79452913617192,W55,23.859258811581956
1112,1.4172032241911128,103.83453541086548,Y29,18.984413457557363
745,1.3609610362378035,103.8436216081292,BE34,13.997512947595071
770,1.3614206825630568,103.84308446006824,BE35,14.075808540787413
820,1.432668821136755,103.84202257132384,Y65M,19.817232595527226
1046,1.4337649976422135,103.8422882584646,Y66M,19.89902800410258
1600,1.387524429768434,103.77127261757693,BJ58,22.382479951568772
778,1.4395974217094103,103.80350329793218,W98,23.147198218798472
1015,1.433216701818879,103.78394716416366,W61,24.211567949115903
846,1.356712431701248,103.94015046680173,TM47,7.650457260883456
6,1.344961935269825,103.94562724999795,T7A,6.312994741567838
98,1.3306877578836185,103.94064337056808,B23M,4.766952397130386
70,1.36800022165129,103.8368096118856,A13,15.069564249509078
1167,1.3507449261777276,103.83829758916372,SH1,13.881849028416655
126,1.388183997698609,103.77368892264832,BJ50,22.18586828795183
1107,1.3898028076418842,103.77193206988431,BJ53,22.445237125873383
1576,1.3890478094024736,103.77350010545896,BJ54,22.252310772621186
1312,1.3798003264431464,103.8807173007426,H93L,12.530889751317087
1704,1.379978213203624,103.88011750262226,HG93,12.585883977382931
578,1.3799740663044326,103.87769855426492,HG98,12.744744834700409
730,1.3889973185441618,103.76783128358818,BJ61,22.796198891847567
1393,1.3786379456153686,103.73792965982472,CKM4,25.262942446895135
425,1.3732971913409149,103.74323849875032,CK74,24.486874823089156
487,1.3769877482261268,103.74939942553608,CK78,24.022282198789142
501,1.3122208822000432,103.85160643935168,KJML,10.866895207447335
257,1.3113925840335257,103.87334197089486,KRM,8.51633827523403
603,1.3113609355931228,103.75918489896868,C29A,20.96969448289441
714,1.319049411792726,103.76398569521967,CLRG,20.56520000714627
665,1.3193599995859169,103.7651328328662,CLTR,20.445260174762616
61,1.3583510906519656,103.83108616866848,BE18,15.003370514773364
392,1.3578308220309556,103.8316301438792,BE44,14.921621740588842
1264,1.391575269300993,103.74337020617482,PDC5,25.32899754971813
209,1.3854160932518795,103.76607212381168,PDP5,22.774958010967445
1729,1.3093544323655142,103.78436887624171,GM1M,18.16341402529351
899,1.3774743473121396,103.75396651904369,CK1,23.58297362137157
1840,1.3669259778172504,103.96455015442594,PDR2,8.986880512941216
